car_model_id,car_type_id,color_id,poster_id,condition_id,km,door_num,seat_num,car_year,price_num,price_words,area
14,2,12,172,1,51336,5,5,2012,780000000,780 Triệu,Bà Rịa Vũng Tàu
14,2,11,9169,1,52000,5,5,2015,950000000,950 Triệu,Hà Nội
14,2,2,174,1,0,5,5,2014,1000000000,1 Tỷ 80 Triệu,Hà Nội
14,2,7,60,1,50000,5,5,2014,960000000,960 Triệu,Hà Nội
15,1,9,175,2,0,5,5,2019,4000000000,4 Tỷ 600 Triệu,Hà Nội
16,5,5,176,1,40000,2,4,2008,699000000,699 Triệu,TP HCM
16,5,3,177,1,53000,2,4,2009,768000000,768 Triệu,TP HCM
16,5,10,116,1,0,2,4,2016,1000000000,1 Tỷ 600 Triệu,TP HCM
16,5,1,178,1,31000,2,4,2016,1000000000,1 Tỷ 620 Triệu,TP HCM
16,5,10,16182,1,0,2,4,2009,750000000,750 Triệu,TP HCM
16,5,3,180,1,62,2,4,2008,690000000,690 Triệu,TP HCM
16,5,3,181,1,23000,2,4,2015,1000000000,1 Tỷ 739 Triệu,TP HCM
17,3,3,182,1,14000,4,5,2018,1000000000,1 Tỷ 299 Triệu,Hà Nội
17,4,3,17,1,0,2,4,2009,1000000000,1 Tỷ 80 Triệu,TP HCM
17,4,3,12672,1,42000,2,4,2012,1000000000,1 Tỷ 250 Triệu,Hà Nội
17,3,3,10703,1,8000,4,5,2018,1000000000,1 Tỷ 299 Triệu,Hà Nội
17,3,1,3419,1,146000,4,5,1998,210000000,210 Triệu,TP HCM
17,3,3,23,1,19000,4,5,2016,1000000000,1 Tỷ 120 Triệu,Hà Nội
17,3,1,118,1,17000,4,5,2018,1000000000,1 Tỷ 345 Triệu,Hà Nội
17,3,1,176,1,60000,4,5,2009,399000000,399 Triệu,TP HCM
17,3,1,185,1,201688,4,5,2005,255000000,255 Triệu,Phú Thọ
17,3,2,186,1,48000,4,5,2010,438000000,438 Triệu,TP HCM
17,3,3,165,1,14000,4,5,2018,1000000000,1 Tỷ 299 Triệu,Hà Nội
17,3,6,187,1,56000,4,5,2011,396000000,396 Triệu,TP HCM
17,3,3,188,2,0,4,5,2020,1000000000,1 Tỷ 879 Triệu,Hà Nội
17,3,3,189,1,88000,4,5,2011,510000000,510 Triệu,Bà Rịa Vũng Tàu
17,3,4,182,1,0,4,5,2016,1000000000,1 Tỷ 50 Triệu,Hà Nội
17,3,3,190,1,30000,4,5,2016,999000000,999 Triệu,Hải Phòng
17,3,3,67,1,0,4,5,2016,939000000,939 Triệu,Hà Nội
17,3,3,191,1,48000,4,5,2011,548000000,548 Triệu,Hà Nội
17,3,10,192,1,98000,4,5,2010,420000000,420 Triệu,Bà Rịa Vũng Tàu
17,3,10,14883,1,66000,4,5,2015,935000000,935 Triệu,Hà Nội
17,3,10,194,2,0,4,5,2020,2000000000,2 Tỷ 159 Triệu,TP HCM
17,3,1,195,1,1755666,4,5,2008,365000000,365 Triệu,Bắc Giang
17,3,1,14969,1,18000,4,5,2018,1000000000,1 Tỷ 345 Triệu,Hà Nội
17,3,1,196,1,112000,4,5,2007,350000000,350 Triệu,Hà Nội
17,4,3,15207,1,48000,2,4,2013,1000000000,1 Tỷ 250 Triệu,Hà Nội
17,3,3,197,1,27000,4,5,2016,1000000000,1 Tỷ 120 Triệu,Hà Nội
17,3,7,198,1,70000,4,5,2014,960000000,960 Triệu,TP HCM
17,3,1,27,1,40000,4,5,2016,1000000000,1 Tỷ 20 Triệu,Hà Nội
17,3,7,199,1,132652,4,5,2009,415000000,415 Triệu,Hà Nội
17,3,3,200,1,28000,4,5,2016,1000000000,1 Tỷ 120 Triệu,Hà Nội
17,3,3,188,2,0,4,5,2020,2000000000,2 Tỷ 389 Triệu,Hà Nội
17,3,3,201,1,0,4,5,2014,948000000,948 Triệu,Hà Nội
17,3,1,202,1,86000,4,5,2009,435000000,435 Triệu,Thái Nguyên
17,3,1,203,1,1,4,5,2003,179000000,179 Triệu,Hải Dương
17,3,3,204,1,37189,4,5,2016,1000000000,1 Tỷ 299 Triệu,Hà Nội
17,3,10,144,1,105000,4,5,2011,486000000,486 Triệu,Hà Nội
17,3,4,205,1,30000,4,5,2016,1000000000,1 Tỷ 330 Triệu,Hà Nội
17,3,4,206,2,0,4,5,2019,2000000000,2 Tỷ 109 Triệu,Hà Nội
17,3,3,207,2,0,4,5,2020,1000000000,1 Tỷ 899 Triệu,Hà Nội
17,3,1,208,1,34567,4,5,2015,925000000,925 Triệu,Hà Nội
17,4,3,17,1,0,2,4,2007,820000000,820 Triệu,TP HCM
17,3,3,209,1,12000,4,5,2018,1000000000,1 Tỷ 279 Triệu,TP HCM
17,3,10,14435,1,33000,5,5,2011,392000000,392 Triệu,TP HCM
17,3,3,211,1,42000,4,5,2015,979000000,979 Triệu,TP HCM
17,2,13,11532,1,40000,5,5,2016,1000000000,1 Tỷ 296 Triệu,Hà Nội
17,3,4,10807,2,0,4,5,2020,2000000000,2 Tỷ 129 Triệu,TP HCM
17,3,1,214,1,90000,4,5,2007,315000000,315 Triệu,Hà Nội
17,3,1,207,2,0,4,5,2020,2000000000,2 Tỷ 459 Triệu,Hà Nội
17,3,3,4,1,0,4,5,2013,880000000,880 Triệu,TP HCM
17,3,3,215,2,0,4,5,2020,2000000000,2 Tỷ 189 Triệu,Nghệ An
17,3,4,165,1,50000,4,5,2016,1000000000,1 Tỷ 59 Triệu,Hà Nội
17,3,5,75,1,50000,4,5,2014,750000000,750 Triệu,Hà Nội
17,3,1,216,1,0,4,5,2015,875000000,875 Triệu,Hà Nội
17,3,4,215,2,0,4,5,2020,2000000000,2 Tỷ 179 Triệu,Nghệ An
17,3,3,10762,1,28000,4,5,2016,1000000000,1 Tỷ 119 Triệu,Hà Nội
17,3,1,10807,2,0,4,5,2020,2000000000,2 Tỷ 159 Triệu,TP HCM
17,3,1,218,1,18000,4,5,2018,1000000000,1 Tỷ 345 Triệu,Hà Nội
17,3,3,15036,1,56268,4,5,2015,868000000,868 Triệu,Hà Nội
17,3,3,10625,1,13000,4,5,2018,1000000000,1 Tỷ 279 Triệu,TP HCM
17,3,3,1,1,0,4,5,2013,995000000,995 Triệu,TP HCM
17,3,10,194,2,0,4,5,2020,2000000000,2 Tỷ 159 Triệu,TP HCM
17,3,1,221,1,0,4,5,2014,880000000,880 Triệu,TP HCM
17,3,3,792,1,12000,4,5,2018,1000000000,1 Tỷ 285 Triệu,TP HCM
